Region,Start Year,DisNo.
Africa,2000,257
Africa,2001,232
Africa,2002,241
Africa,2003,188
Africa,2004,189
Africa,2005,208
Africa,2006,241
Africa,2007,207
Africa,2008,197
Africa,2009,175
Africa,2010,153
Africa,2011,174
Africa,2012,131
Africa,2013,127
Africa,2014,119
Africa,2015,122
Africa,2016,110
Africa,2017,120
Africa,2018,120
Africa,2019,174
Africa,2020,138
Africa,2021,124
Africa,2022,152
Africa,2023,125
Americas,2000,153
Americas,2001,129
Americas,2002,161
Americas,2003,129
Americas,2004,129
Americas,2005,135
Americas,2006,105
Americas,2007,134
Americas,2008,149
Americas,2009,120
Americas,2010,150
Americas,2011,131
Americas,2012,117
Americas,2013,109
Americas,2014,111
Americas,2015,127
Americas,2016,109
Americas,2017,128
Americas,2018,89
Americas,2019,120
Americas,2020,105
Americas,2021,152
Americas,2022,143
Americas,2023,126
Asia,2000,345
Asia,2001,305
Asia,2002,333
Asia,2003,326
Asia,2004,340
Asia,2005,383
Asia,2006,311
Asia,2007,280
Asia,2008,245
Asia,2009,235
Asia,2010,260
Asia,2011,246
Asia,2012,213
Asia,2013,230
Asia,2014,235
Asia,2015,268
Asia,2016,247
Asia,2017,233
Asia,2018,205
Asia,2019,227
Asia,2020,196
Asia,2021,229
Asia,2022,206
Asia,2023,221
Europe,2000,124
Europe,2001,86
Europe,2002,109
Europe,2003,87
Europe,2004,74
Europe,2005,113
Europe,2006,85
Europe,2007,92
Europe,2008,50
Europe,2009,68
Europe,2010,89
Europe,2011,39
Europe,2012,85
Europe,2013,66
Europe,2014,71
Europe,2015,63
Europe,2016,51
Europe,2017,53
Europe,2018,65
Europe,2019,71
Europe,2020,50
Europe,2021,70
Europe,2022,84
Europe,2023,72
Oceania,2000,15
Oceania,2001,19
Oceania,2002,21
Oceania,2003,24
Oceania,2004,23
Oceania,2005,15
Oceania,2006,18
Oceania,2007,11
Oceania,2008,13
Oceania,2009,22
Oceania,2010,18
Oceania,2011,14
Oceania,2012,15
Oceania,2013,13
Oceania,2014,12
Oceania,2015,26
Oceania,2016,17
Oceania,2017,8
Oceania,2018,18
Oceania,2019,15
Oceania,2020,18
Oceania,2021,16
Oceania,2022,10
Oceania,2023,19
